Sample	Group
DAR1-01-344570	1
DAR1-01_R-344644	1
DAR1-02-344571	2
DAR1-02_R-344742	2
DAR3-03-344668	3
DAR3-03_R-344648	3
DAR3-06-344671	4
DAR3-06_R-344739	4
FIT1-06-344584	5
FIT1-06_R-344744	5
POL3-01-344616	6
POL3-01_R-344645	6
POL3-05-344693	7
POL3-05_R-344740	7
POP2-01-344706	8
POP2-01_R-344649	8
RAV2-02-344714	9
RAV2-02_R-344650	9
RAV2-05-344717	10
RAV2-05_R-344741	10
SPA2-02-344633	11
SPA2-02_R-344743	11
SPA2-03-344634	12
SPA2-03_R-344646	12
SPA3-01-344637	13
SPA3-01_R-344647	13
SPA3-02-344638	14
SPA3-02_R-344745	14
OBO1-02-344596	15
FIT2-04-344588	15
OBO2-03-344602	16
FIT3-04-344593	16
POL1-07-344609	17
POP1-01-344619	17
POL2-04-344613	18
BUX3-04-344656	18
POL5-01-344700	8
